  350   18322
    1      11     748 47
    1      12      48 49
    1      19    1505 50
    1      20    4363 28
    1      26    3735 51
    1      28    9885 49
    1      29    7860 42
    1      35     253 34
    1      41     204 82
    1      42    8713 51
    1      47    7850 86
    1      48    8695 57
    1      55    8820 33
    1      58    1969 87
    1      64    9118 5
    1      68    8641 26
    1      76    1520 18
    1      82    9988 78
    1      85    4749 17
    1      90    1002 36
    1      91    8526 14
    1      95    7611 38
    1     100    7898 6
    1     102    1600 80
    1     106    3933 63
    1     110    9029 77
    1     111    2303 43
    1     115    1914 33
    1     116    3744 36
    1     117    1567 11
    1     123    1570 54
    1     124    5709 98
    1     127    9695 44
    1     130    3455 2
    1     131    3313 97
    1     132    6779 51
    1     133     585 20
    1     135    3980 85
    1     140    8966 31
    1     142    1236 39
    1     145    6156 75
    1     148    4485 31
    1     151    1870 72
    1     154    1033 18
    1     157     874 17
    1     159    1563 98
    1     163    7102 37
    1     164    6892 86
    1     169    1778 16
    1     170    7532 77
    1     173    5062 38
    1     175    1779 100
    1     184    2481 19
    1     185    1854 91
    1     189    8574 33
    1     190     988 70
    1     196    7542 24
    1     197    7913 43
    1     207    2725 60
    1     208    9983 66
    1     211     436 44
    1     212    9549 88
    1     213    1956 51
    1     218    2285 14
    1     219    7728 30
    1     220    5184 9
    1     223    4973 46
    1     224    5027 69
    1     226    4128 80
    1     227    6739 14
    1     231    9579 72
    1     233    1655 54
    1     245    5643 87
    1     249    6391 15
    1     250    3549 36
    1     256    2530 60
    1     262    8246 45
    1     264    2301 91
    1     265     943 83
    1     266    3085 87
    1     267    8433 28
    1     268    2495 79
    1     282    4347 17
    1     287    2126 53
    1     297    9930 93
    1     298    9029 70
    1     300    2375 3
    1     303    1991 3
    1     304    3358 98
    1     305    2131 6
    1     306    2120 72
    1     307    2443 83
    1     308     145 24
    1     309    2140 41
    1     313    3146 4
    1     314    5913 80
    1     323    1329 26
    1     328    7557 92
    1     331    8776 50
    1     335    3744 94
    1     338    7045 100
    1     342    2368 63
    1     343    2084 1
    1     350    9859 70
    2       8    2905 13
    2      12    5785 61
    2      17    7768 73
    2      18    4323 94
    2      23    4804 59
    2      33     196 33
    2      36    2186 31
    2      38    4439 8
    2      41      76 75
    2      49    7333 30
    2      50    1246 80
    2      53    5258 57
    2      58    1497 90
    2      59    1010 88
    2      62     997 20
    2      65    9261 25
    2      67    6556 58
    2      72    2248 37
    2      74    5668 55
    2      79    6202 64
    2      81    1996 15
    2      82    1255 4
    2      94    5579 72
    2     106    3440 12
