  150    3352
    1       2    8802 48
    1       6    5671 71
    1       8    9559 52
    1      10    6402 59
    1      14    3630 49
    1      15    2544 37
    1      23    6117 40
    1      25    1361 41
    1      28     861 91
    1      29     952 46
    1      30    2667 42
    1      33     447 88
    1      35    9641 44
    1      40     735 84
    1      41    2683 44
    1      46    2620 15
    1      49    6675 39
    1      50    2375 97
    1      55    8096 36
    1      57    2725 84
    1      58    4166 93
    1      62    5280 45
    1      65    1914 26
    1      68    7317 59
    1      69    9629 10
    1      72    9500 7
    1      79     306 88
    1      81    1561 96
    1      82     994 6
    1      84    9622 94
    1      85    7560 15
    1      86    1077 30
    1      89    9130 84
    1      94    8757 35
    1      96     588 67
    1      97    4051 48
    1      99    1589 72
    1     100    1849 9
    1     101    1935 2
    1     105    8627 49
    1     108    3479 31
    1     109    5402 90
    1     111     149 76
    1     113    2763 98
    1     117    3471 39
    1     120    5438 51
    1     131    1570 28
    1     133     975 98
    1     134    4751 86
    1     136    9122 11
    1     138    4280 40
    1     140    6731 2
    1     143    7343 58
    1     144     243 24
    1     147    7649 77
    2       3    7736 59
    2       8    1099 65
    2       9    3005 37
    2      11    4124 82
    2      15    4289 16
    2      20     342 97
    2      24     761 99
    2      25    3390 60
    2      33    7836 23
    2      34    3957 97
    2      38    2021 55
    2      43     307 77
    2      44    7359 63
    2      47    3747 4
    2      48    2003 13
    2      53    4807 38
    2      56    1138 96
    2      57    8874 38
    2      60    5486 86
    2      66    1660 37
    2      74    3762 41
    2      75    4749 73
    2      79    4972 97
    2      88    3617 28
    2      92    6246 72
    2      97     910 90
    2     102    8876 34
    2     107    4347 28
    2     111    2926 65
    2     114    5249 96
    2     116     326 20
    2     119    5435 66
    2     124    2107 85
    2     125    1920 90
    2     133     587 32
    2     137    9345 40
    2     143    6000 96
    2     145    7564 10
    2     147    9356 82
    2     150     699 5
    3       4    7555 68
    3      12    6226 88
    3      20    7070 23
    3      27    1538 38
    3      30    8330 52
    3      31     976 24
    3      35    1378 63
    3      36    7841 93
    3      38    1792 53
    3      39    3892 50
    3      40    2470 44
    3      46    4140 18
    3      49    8949 68
    3      51    1631 33
    3      53    4999 30
    3      54    1959 88
    3      55    6188 4
    3      63    8604 3
    3      65    3063 78
    3      66    2579 92
    3      67    8857 17
    3      69    7892 70
    3      75    8871 96
    3      78    6057 90
    3      82    8578 73
    3      83     811 31
    3      93    8854 32
    3      95    8792 46
    3     101    3468 87
    3     102    2700 37
    3     105    2612 42
    3     106    7669 68
    3     107    1550 16
    3     114    3226 20
    3     118    6420 39
    3     121     464 61
    3     127     692 42
    3     128    4818 96
    3     129    4756 64
    3     130    4134 28
    3     132    3692 9
    3     133    9156 9
    3     134    5954 14
    3     135    8298 85
    3     137    1712 5
    3     141    4919 16
    3     142    9457 60
    3     143    3139 65
    3     145     497 72
    3     150    8665 15
    4       6    2776 82
    4      13    7102 7
    4      14    3961 18
    4      15    5910 31
    4      18    5407 89
    4      21     573 33
    4      22    1078 60
    4      29     558 86
    4      30    9038 10
    4      32    7687 54
    4      33     153 85
    4      34    2173 28
    4      35    9402 28
    4      42    8012 32
    4      44    2158 10
    4      45    1135 83
    4      47    9922 88
    4      48    3974 27
    4      49    3545 100
    4      54    2526 60
    4      58     477 90
    4      66    5913 86
    4      68    2413 36
    4      71    5582 72
    4      78    6961 94
    4      80    5150 76
    4      83    7976 11
    4      85    4267 29
    4      88    5268 55
    4      89    6194 31
    4      91     787 58
    4      95    4540 31
    4      96    8936 66
    4      97    1504 3
    4     107    6149 1
    4     108    4067 27
    4     110    5887 95
    4     112       4 38
    4     115    2949 82
    4     116    1180 2
    4     120    6857 7
    4     124    2398 61
    4     136    7868 29
    4     138    6787 27
    4     140     227 16
    4     147    9672 10
    4     148    2674 52
    4     149    3343 100
    4     150    2670 94
    5      10    5366 89
    5      11       3 91
    5      23    2074 4
    5      25    1087 51
    5      33    3066 6
    5      34    2889 38
    5      39    9997 64
    5      41    2443 78
    5      42    5077 62
    5      44    9913 82
    5      45      53 9
    5      47    2497 72
    5      49    6568 9
    5      56    2207 80
    5      58     822 4
    5      65    6125 92
    5      70    3227 24
    5      74    2057 68
    5      75    1011 61
    5      76     982 50
    5      79    5183 6
    5      81    8811 81
    5      88    4889 80
    5      89    9258 1
    5      92    4441 57
    5      93     838 18
    5      96    2962 8
    5     102    8351 49
    5     112    7500 97
    5     117    6160 75
    5     123    5125 85
    5     124    3793 55
    5     125    3183 3
    5     127    2917 24
    5     130    3370 80
    5     145    4460 85
    5     147    7535 20
    5     148    5216 16
    5     149    9814 81
    5     150     125 81
    6       9    2274 6
    6      15    2041 6
    6      17    1774 94
    6      22    5037 91
    6      23    2522 6
    6      24    8733 49
    6      26    2551 94
    6      33    9994 85
    6      37     286 98
    6      38    5957 3
    6      39    4553 44
    6      42    4719 99
    6      43     500 32
    6      47    5523 30
    6      52    8523 57
    6      53    1198 73
    6      55    7871 24
    6      56    5051 50
    6      60    8738 14
    6      61     404 90
    6      62    7259 88
    6      63    8936 37
    6      66    7825 72
    6      68    8579 46
    6      69    1384 65
    6      75    7306 20
    6      77    2995 69
    6      78    9247 25
    6      82    2800 34
    6      87    9611 10
    6      91    8876 34
    6      94    1189 10
    6      97     450 63
    6     103    7804 95
    6     109    5827 16
    6     112    3344 62
    6     122    2673 73
    6     129    1289 20
    6     132    1415 61
    6     135    9273 100
    6     136    4204 2
    6     145    2271 59
    6     147    5466 62
    7       8    3296 42
    7      10    2005 96
    7      12    2279 92
    7      13    5320 88
    7      15     805 76
    7      16    9905 88
    7      24    1275 31
    7      28     848 64
    7      35    6751 66
    7      36    7721 8
    7      37    1308 75
    7      38      14 23
    7      42    8244 27
    7      45    2717 75
    7      46    3031 98
    7      47    8012 35
    7      49    2114 77
    7      53    5495 63
    7      54    7975 80
    7      56    2055 58
    7      62    1413 9
    7      63    4951 87
    7      68     349 29
    7      72     665 96
    7      73    8396 69
    7      75    2666 96
    7      80    2466 52
    7      84    9814 68
    7      87     258 43
    7      88    9198 38
    7      90    5246 46
    7      91    4969 1
    7      97    3613 89
    7      98    6976 77
    7     100     836 100
    7     101    7179 67
    7     114    4277 74
    7     116    5278 65
    7     117    4985 22
    7     120    4687 79
    7     123    7553 67
    7     125    1303 35
    7     134    7580 31
    7     140     723 94
    7     141    4859 65
    7     148    2346 85
    8      10    3174 42
    8      12    6971 32
    8      14    6264 65
    8      19    6144 75
    8      21    7046 11
    8      26    1698 33
    8      27    3921 73
    8      32    4732 16
    8      34    1333 58
    8      35    3127 88
    8      38    9579 45
    8      40     253 16
    8      43    5164 23
    8      44    4817 17
    8      45    6920 77
    8      48    9094 48
    8      50    5028 56
    8      52    2370 55
    8      53    5350 48
    8      58    6687 10
    8      61    5873 91
    8      65    4156 36
    8      73    1667 85
    8      76    2995 83
    8      77    6189 95
    8      78    9605 15
    8      80    4863 18
    8      81    2568 76
    8      88    5747 98
    8      89    4882 49
    8     103    7025 12
    8     107    7892 78
    8     112    2237 1
    8     115    5809 36
    8     121    8224 23
    8     125    1140 69
    8     129    4211 94
    8     132    4950 82
    8     134    6256 44
    8     138    9192 38
    8     145    2523 39
    9      10    4584 55
    9      13      64 70
    9      14    6645 79
    9      22     312 19
    9      26    9221 80
    9      29    5041 2
    9      35    2867 22
    9      47     673 17
    9      50    9155 4
    9      57    9173 30
    9      59    3838 94
    9      65    4572 61
    9      66    7442 57
    9      68    6886 77
    9      71    8239 86
    9      73     499 6
    9      76    2747 2
    9      79    6212 16
    9      81    2014 84
    9      83    2751 18
    9      84    9709 29
    9      88    8623 3
    9      91    7538 70
    9      96    9117 80
    9      98    7446 15
    9      99    2372 12
    9     101     630 41
    9     107    2014 27
    9     109    5367 34
    9     110    9664 78
    9     113     566 13
    9     114    9037 74
    9     117     314 100
    9     118    2431 23
    9     127     532 86
    9     128     131 92
    9     136    4209 38
    9     143    2679 38
    9     144    9518 75
    9     147    7425 42
    9     150    7275 28
   10      11     203 16
   10      14     758 72
   10      16    4674 16
   10      25    7207 98
   10      27    2098 66
   10      28    4336 13
   10      29    1748 38
   10      31    2816 9
   10      44    2028 76
   10      45    8949 63
   10      47     602 88
   10      48    5177 47
   10      50     678 62
   10      56    6767 45
   10      61    6299 29
   10      62    5451 59
   10      69     701 7
   10      70    2619 66
   10      78    6533 51
   10      88    9306 50
   10      90    4020 54
   10      98    7595 52
   10     102    6022 56
   10     115     733 77
   10     119    4946 62
   10     120    1736 66
   10     122    1535 66
