  200    5969
    1      27    9009 43
    1      28    3518 91
    1      31    6645 24
    1      33    5235 8
    1      36     320 69
    1      47    6672 6
    1      52    1509 1
    1      57    2452 57
    1      70    8398 41
    1      72    1392 26
    1      75    3456 32
    1      79    5199 21
    1      87    6458 83
    1      90    2743 21
    1      94    8426 13
    1      96    6076 11
    1     101    4483 59
    1     103    6734 14
    1     108    5809 12
    1     113    1218 34
    1     115     874 34
    1     117    2803 23
    1     123    5400 61
    1     127    3994 15
    1     128    3819 88
    1     133    1655 15
    1     136     820 90
    1     140     735 93
    1     142    8358 74
    1     144    8807 4
    1     147    7143 65
    1     150    3095 97
    1     151    1870 23
    1     152    5831 18
    1     162     712 77
    1     164    2718 69
    1     166    3251 91
    1     178     404 83
    1     183     447 9
    1     185     262 68
    1     186    9122 37
    1     189    1138 24
    1     190    5767 16
    1     191    7455 40
    1     192     624 81
    1     197     265 45
    1     200    2096 53
    2       5    2686 10
    2       8    2237 25
    2      14     633 38
    2      15    3834 25
    2      17    8041 63
    2      18    2738 69
    2      20    5972 97
    2      23    7607 60
    2      24    7417 6
    2      30    2936 64
    2      33    7979 28
    2      35     630 67
    2      38    4747 29
    2      39    6939 66
    2      41    2944 40
    2      47    1161 14
    2      49    7345 95
    2      52    9160 70
    2      55    9683 23
    2      56    6438 3
    2      60    1758 81
    2      65     642 20
    2      66    9813 66
    2      67    4837 70
    2      70    1855 77
    2      71      63 82
    2      75    3544 1
    2      81    7727 66
    2      82    1732 12
    2      87    3541 64
    2      90    4298 83
    2      93     330 6
    2      97    9303 23
    2      99    1342 78
    2     100    6313 78
    2     101    8066 6
    2     105    8351 57
    2     108    2370 50
    2     112    1511 1
    2     114    7720 47
    2     116    3640 89
    2     117    7020 14
    2     118    6988 22
    2     119    5435 12
    2     120    1588 10
    2     122    2939 94
    2     126    5594 49
    2     130    6275 9
    2     131    1392 20
    2     139    2797 49
    2     142     795 97
    2     148    9719 36
    2     149     861 62
    2     152    4669 27
    2     153    6798 100
    2     156    7075 12
    2     157    8874 24
    2     158    1335 80
    2     161    1219 48
    2     164    6500 78
    2     165    9256 26
    2     168    2643 66
    2     170    2588 28
    2     172    3731 36
    2     175    3492 65
    2     176    1754 36
    2     177    9530 1
    2     179    1886 89
    2     182    4712 46
    2     186    4345 95
    2     191    7283 7
    2     194    2217 69
    2     196    9961 17
    3       5    6082 76
    3      15    7490 94
    3      16    7752 37
    3      18    6420 66
    3      21      91 3
    3      26    8872 21
    3      29    4756 42
    3      30    4362 56
    3      39    3142 52
    3      40    4155 68
    3      43    3139 43
    3      44    8778 62
    3      46    1100 88
    3      50    2974 87
    3      53    6103 83
    3      55      83 83
    3      57     130 24
    3      61     793 73
    3      65    7640 35
    3      79    1293 40
    3      85    3189 49
    3      86    8158 24
    3      87    8180 8
    3      89     949 3
    3      93    1656 12
    3      96    3316 87
    3     100    6875 61
    3     102    2700 62
    3     104    6424 96
    3     105    4408 34
    3     110    9965 63
    3     111    5640 81
    3     113    2413 53
    3     115    4423 32
    3     120    5522 11
    3     122    7792 100
    3     127    5883 85
    3     131    8765 12
    3     136    6317 29
    3     137    9856 98
    3     139    3258 89
    3     140    8182 90
    3     141     578 73
    3     143    9975 32
    3     144    2219 95
    3     147    9997 63
    3     149    9082 20
    3     151    4991 14
    3     152    5507 6
    3     153    4562 42
    3     155     941 76
    3     156    7804 95
    3     158    5548 58
    3     159    7517 73
    3     160     469 30
    3     161    1722 84
    3     162    8112 15
    3     166    3847 45
    3     167    1162 80
    3     169    3794 91
    3     171    9030 32
    3     174    5447 85
    3     178    9746 75
    3     186    4755 77
    3     188    6453 51
    3     190    3195 6
    3     193     472 53
    3     198    5142 89
    4       8    4318 54
    4      13    9677 80
    4      16    9879 66
    4      18    5407 39
    4      19    2798 54
    4      20    7298 22
    4      22    6475 50
    4      23    6625 74
    4      24    4445 6
    4      27     286 54
    4      30    1032 90
    4      32    1003 88
    4      35    1290 18
    4      37    6930 5
    4      41    5277 91
    4      43    2320 41
