  400   23939
    1       4    7207 41
    1       6    2699 21
    1       7    2913 17
    1      10    7585 97
    1      13    4411 97
    1      15    3298 47
    1      18    9939 73
    1      36    1215 95
    1      38    6940 44
    1      43    9682 30
    1      45    7611 19
    1      46     588 58
    1      56    1949 21
    1      63     235 29
    1      64    1584 95
    1      78    6935 52
    1      79    7195 20
    1      80    6209 77
    1      85    5105 33
    1      89    9782 78
    1      92    2548 44
    1      94    7176 43
    1      97    2326 6
    1     105    9889 89
    1     108    2837 99
    1     111    7025 56
    1     114    3733 31
    1     116    5526 75
    1     117    4245 88
    1     118    1176 79
    1     121    8414 84
    1     123    7198 15
    1     124    4740 90
    1     130     830 96
    1     131    7969 10
    1     133    5523 77
    1     136    7866 6
    1     137    1821 76
    1     140    1555 46
    1     145    4143 1
    1     150    8487 46
    1     152    2504 13
    1     154    7125 25
    1     155    6833 21
    1     157    4400 47
    1     158     201 4
    1     161    8121 78
    1     164     741 58
    1     166    2376 71
    1     169    7407 49
    1     171    6424 23
    1     177    1253 59
    1     178    2077 64
    1     182    6737 67
    1     185    5505 39
    1     187    6804 60
    1     188    8707 3
    1     192    1004 56
    1     198    5000 93
    1     199    9383 37
    1     206    1816 51
    1     209    8941 40
    1     211    8586 15
    1     212     632 51
    1     215    2624 8
    1     218    6486 19
    1     219     122 93
    1     220    2692 48
    1     228    3731 62
    1     233    5235 4
    1     237    1890 88
    1     250    8802 46
    1     252    4438 9
    1     253    4778 49
    1     254    2345 59
    1     260    3298 45
    1     261     114 98
    1     268    9321 83
    1     269    7069 34
    1     273    8262 89
    1     277     641 54
    1     278    1980 84
    1     283    6831 4
    1     286    4820 65
    1     287    9241 10
    1     288    2785 65
    1     289    9365 91
    1     299    6431 7
    1     303    1074 50
    1     304    8432 1
    1     308    4499 41
    1     310    6710 100
    1     313    1218 35
    1     317    3038 91
    1     320    5712 72
    1     323     817 11
    1     324    4226 69
    1     326    8765 90
    1     327    3587 98
    1     328    3819 53
    1     329    8381 22
    1     337    6541 31
    1     338    2516 99
    1     340    5166 32
    1     342    8358 93
    1     359    7239 34
    1     362     712 50
    1     366    1544 94
    1     369    9661 59
    1     370    1449 40
    1     375      84 54
    1     379     431 24
    1     381    3079 99
    1     383     931 92
    1     385    9558 81
    1     388    2609 73
    1     389    1138 57
    1     390    5767 69
    1     396    4244 59
    1     397    7711 71
    1     399    4535 37
    2       7    9080 18
    2       8    8048 33
    2      10     610 69
    2      14     633 33
    2      15    3834 20
    2      27    2841 89
    2      29    3895 26
    2      31    6877 51
    2      34    1289 21
    2      36    1067 5
    2      41    2944 71
    2      44    8717 70
    2      48    6777 70
    2      49    7345 34
    2      51    4140 45
    2      54    7568 81
    2      55     819 27
    2      56    5607 44
    2      57    9818 81
    2      58    5621 48
    2      60    8870 23
    2      61    8422 56
    2      62    7725 93
    2      68    4630 54
    2      81    1026 82
    2      86    2165 93
    2      87    7526 39
    2      89    5260 60
    2      91    5203 72
    2      94    7518 100
    2      96    4594 74
    2      98    2956 82
    2     102    8770 100
    2     105     617 97
    2     110    4139 81
    2     122    1910 60
    2     130    1823 95
    2     134     774 33
    2     139    5172 16
    2     140     637 23
    2     142    6246 70
    2     143    6260 9
    2     144    2568 56
    2     150    2738 25
    2     154    3821 97
    2     155    7960 70
    2     156    1138 74
    2     165    3439 51
    2     168    3173 71
    2     170     628 26
    2     171    9047 19
    2     172    6474 16
    2     174      14 80
    2     179    6978 30
    2     180    3455 25
    2     187    1911 32
    2     188    8304 59
    2     189    5945 73
    2     193    4045 66
    2     196    2776 40
    2     203    1774 91
    2     207    7091 43
    2     209    1486 40
    2     211    7559 95
    2     212    2128 72
    2     215    3010 92
    2     216    1256 9
    2     217    1152 52
    2     218    2738 44
    2     219    7830 54
    2     220    5153 63
    2     221    1959 61
    2     222    9406 42
    2     240    2651 89
    2     242    7408 59
    2     244    3020 24
    2     247    6537 97
    2     248    2003 25
    2     249    6832 69
    2     250    2700 80
    2     256    5768 2
    2     259    5914 7
    2     260    2265 32
    2     261    4830 22
    2     265    8179 82
    2     269    5675 97
    2     270    1855 37
    2     282    9857 17
    2     285    6216 42
    2     290    4298 6
    2     292    7128 73
    2     293    1836 27
    2     295    8633 61
    2     297     910 20
    2     298    1342 55
    2     300    5906 42
    2     304    4747 88
    2     305    8050 7
    2     308    4402 5
    2     313     323 60
    2     315     435 65
    2     319    5435 70
    2     322    2939 49
    2     325    7777 17
    2     331    1392 23
    2     332     910 89
    2     335    9920 71
    2     336    5851 33
    2     338    5686 40
    2     341    9931 18
    2     344    2262 19
    2     345    4240 92
    2     346     456 4
    2     347    5701 73
    2     348    5308 78
    2     350    4981 32
    2     353    9728 48
    2     355    4704 31
    2     356     518 36
    2     357    8874 7
    2     358    6461 56
    2     360    5621 22
    2     361    1278 36
    2     362    1195 25
    2     366    7652 18
    2     367     768 85
    2     370    4151 20
    2     372    3731 46
    2     374    9761 73
    2     377    2285 76
    2     379    7408 85
    2     388     746 35
    2     389    8607 91
    2     390    3644 25
    2     391     793 20
    2     392    1490 69
    2     398    7466 84
    2     399    9521 34
    2     400    2647 78
    3       5    6026 18
    3       8    8824 71
    3      10    7835 50
    3      12    4771 33
    3      14    7252 2
    3      15    7490 26
    3      21      91 79
    3      22    6895 33
    3      24    3115 19
    3      27    9958 64
    3      28    1221 56
    3      31    9809 72
    3      32    4452 71
    3      36    9013 36
    3      38    1347 2
    3      40    4738 2
    3      44    8778 95
    3      45     470 7
    3      51    2746 33
    3      55    7842 68
    3      57     130 7
    3      61     997 81
    3      66    8807 3
    3      72    6492 23
    3      74     264 33
    3      75    2539 31
    3      76    4387 13
    3      87    6163 74
    3      89    4151 90
    3      91    9840 4
    3      92    9386 13
    3      97    4646 81
    3      98    7360 60
    3     100    9138 99
    3     111      97 73
    3     116    4360 83
    3     117    4352 70
    3     120    5522 18
    3     121    2793 95
    3     122    4272 98
    3     124    9491 19
    3     128     874 95
    3     132    3135 55
    3     135    9411 51
    3     148    1540 12
    3     155    9251 3
    3     157    5004 8
    3     159    8611 74
    3     160    3543 27
    3     164    4933 92
    3     171    8371 40
    3     174    5550 84
    3     175     510 62
    3     180    4546 62
    3     183    9624 51
    3     187    3889 44
    3     192    4102 37
    3     194    1076 17
    3     197    8747 50
    3     200    9633 5
    3     210    4313 37
    3     211    1677 53
    3     212    4665 96
    3     213    9650 67
    3     216    3599 92
    3     217     151 10
    3     219    1143 77
    3     221    1837 11
    3     222    3369 56
    3     227    7958 18
    3     231    9125 27
    3     232    1181 45
    3     239    3142 1
    3     240    6948 16
    3     242    7360 74
    3     247    9113 49
    3     248    9486 31
    3     249    8500 66
    3     252    3258 29
    3     265    9609 99
    3     266    6183 93
    3     269    5889 51
    3     272    5972 91
    3     274     739 16
    3     278    3830 35
    3     284    4808 27
    3     285    6732 49
    3     288    4296 37
    3     291    3064 4
    3     294    9265 100
    3     296    3726 31
    3     298    7557 9
    3     300    3387 70
    3     303       8 41
    3     306    7999 68
    3     307    1406 16
    3     308    6630 31
    3     309    4691 22
    3     310    9531 43
    3     313    7092 74
    3     314    3787 67
    3     317    9538 91
    3     320    4934 38
    3     331    8089 54
    3     332    5010 61
    3     336    9800 61
    3     343    4392 61
    3     344    2219 46
    3     345    6902 39
    3     349    2740 60
    3     351    4991 6
    3     352    2178 40
    3     354    1845 29
    3     355    8651 87
    3     358    5548 27
    3     361    8841 53
    3     362    8700 76
    3     365    5549 24
    3     366    9064 10
    3     370    3600 76
    3     372    1713 56
    3     374    9052 38
    3     375    8279 13
    3     380     478 76
    3     383    5998 94
    3     385    3758 87
    3     386    5360 32
    3     389     325 72
    3     390    2690 27
    3     392    7916 98
    3     395    3830 79
    3     396    4864 78
    3     397    9471 54
    3     398    5142 54
    4       5     974 45
    4      10    1940 62
    4      13    8300 91
    4      16    2214 83
    4      25    4238 4
    4      40     907 96
    4      43    3344 65
    4      44    4547 36
    4      45     525 30
    4      50    7626 75
    4      55    9627 49
    4      56    3351 40
    4      57    8811 93
    4      68    6112 84
    4      71    8481 30
    4      78    2878 8
    4      80    5492 56
    4      81    8356 19
    4      82    5558 69
    4      84    6651 12
    4      85    6310 81
    4      88     918 41
    4      90    2792 43
    4      94      48 79
    4      99    1521 13
    4     100    6555 18
    4     102    7606 35
    4     104    8453 10
    4     115     819 5
    4     119    7385 50
    4     125    9691 11
    4     131    5411 68
    4     132    2842 34
    4     133    8693 83
    4     134    1693 2
    4     135    1492 44
    4     139     709 72
    4     145    6377 29
    4     146     265 77
    4     153    2577 11
    4     155    2723 63
    4     157    7211 78
    4     158    4341 88
    4     159    3939 83
    4     160    2182 90
    4     162    3333 67
    4     169    2428 15
    4     182    6911 34
    4     183    6316 46
    4     185    6306 18
    4     189    2560 38
    4     193    5851 82
    4     194    4176 74
    4     196    4168 8
    4     198    3184 38
    4     199    2397 11
    4     206    1694 30
    4     207    8148 84
    4     210    9498 32
    4     211    8451 27
    4     212     990 97
    4     215    7895 35
    4     216    1502 64
    4     222    6475 74
    4     223    7563 88
    4     238    9556 78
    4     252    5860 17
    4     253    1211 23
    4     254    4528 96
    4     255    7103 3
    4     259    5940 80
    4     260     642 3
    4     267    8307 13
    4     269    3915 75
    4     274    1514 95
    4     277    3701 53
    4     286    2079 52
    4     289    1874 87
    4     290    2680 65
    4     291     388 45
    4     294    8037 26
    4     296    3030 4
