  450   30307
    1       2    4426 48
    1       5    9848 50
    1       9    6661 50
    1      10    6008 11
    1      11    6087 22
    1      12    4931 2
    1      17    1785 71
    1      18    1176 64
    1      19    2717 20
    1      24    5709 100
    1      30    2864 82
    1      36     621 88
    1      44    8124 78
    1      47    7143 16
    1      52    8895 75
    1      54     671 53
    1      55    1059 50
    1      56    5436 46
    1      60    5954 42
    1      67    6248 38
    1      69    6119 78
    1      70    9263 46
    1      72    5720 2
    1      75    3938 83
    1      80    1175 44
    1      81    2065 22
    1      82    6121 93
    1      87    3126 15
    1      88    1257 69
    1      92    6736 46
    1      94    4472 13
    1      95    7047 29
    1      96      21 1
    1     101    1935 93
    1     102    2830 90
    1     103    4718 57
    1     105    3414 30
    1     110    7849 56
    1     111     923 49
    1     112    3307 59
    1     119    3553 79
    1     120     432 70
    1     122    1877 71
    1     123    9138 78
    1     129    7713 95
    1     132    2812 58
    1     133    5755 36
    1     135    4642 40
    1     137     898 81
    1     140    1240 76
    1     141    6459 19
    1     142    5978 82
    1     154     123 14
    1     161    7895 30
    1     162    9468 23
    1     166    1834 10
    1     167     948 16
    1     168    1794 85
    1     172    8024 81
    1     175     484 21
    1     176    8120 41
    1     177     934 53
    1     180    2667 55
    1     182    3775 5
    1     186     402 76
    1     187    3652 67
    1     188     697 55
    1     204    1824 90
    1     207    8198 75
    1     211    8869 42
    1     213    9566 29
    1     222    5543 59
    1     224    1219 23
    1     231    2201 22
    1     236     176 11
    1     239    2053 40
    1     240    5792 65
    1     246    3987 41
    1     248    2013 37
    1     250    1230 59
    1     253    8103 13
    1     255    6126 81
    1     264     549 25
    1     271    5987 78
    1     276    5925 78
    1     279    6458 18
    1     281    7733 66
    1     289    3625 60
    1     293    2345 68
    1     294    9878 60
    1     300     915 18
    1     301    3691 41
    1     303    6815 22
    1     307    1149 16
    1     310    7460 75
    1     311    1385 53
    1     313    9465 85
    1     314    3733 65
    1     319    6269 52
    1     321    1193 37
    1     322    9997 48
    1     323    1069 39
    1     324    4068 48
    1     327    3802 97
    1     328    7255 79
    1     331    1519 25
    1     333    2111 65
    1     337    3755 13
    1     341    4738 56
    1     348    5283 9
    1     349    2960 84
    1     358    4166 27
    1     365    2588 7
    1     367    7050 28
    1     368    7317 68
    1     370    1314 2
    1     375    3456 64
    1     381    1980 70
    1     384    9622 96
    1     386    1077 7
    1     387    4007 55
    1     394    1546 92
    1     396    4093 57
    1     397     454 83
    1     410    1086 46
    1     412    2144 86
    1     415    5224 59
    1     418    9064 17
    1     426    1013 79
    1     429    6654 78
    1     433     931 50
    1     435    8584 87
    1     436    4820 87
    1     440    9402 70
    1     445    5643 15
    1     446    4363 92
    1     448    1116 31
    1     449     982 84
    1     450    6743 31
    2       8    1010 72
    2      11    1044 18
    2      13    8495 77
    2      14    7587 46
    2      19    8964 18
    2      23    8948 45
    2      28    3609 39
    2      29    6844 75
    2      43    1031 47
    2      44    6427 72
    2      50    4051 10
    2      54    3312 5
    2      55       8 59
    2      58    8048 65
    2      59    6656 34
    2      60    4663 38
    2      61    8688 63
    2      63    1758 53
    2      64    7628 51
    2      65    1492 19
    2      68    8540 52
    2      69    8391 70
    2      70    6964 7
    2      79    7323 45
    2      81    3996 99
    2      82    7858 61
    2      83    8194 94
    2      85    8265 53
    2      86    2097 86
    2      88    1016 24
    2      96    3024 4
    2      97     910 31
    2     101    9322 10
    2     103    3222 34
    2     109    3775 66
    2     120    2022 72
    2     127    4532 79
    2     129    8374 53
    2     132    6917 1
    2     136    2231 44
    2     137    4732 65
    2     142    2177 23
    2     148    1372 90
    2     150    9012 47
    2     153     506 20
    2     156     229 7
    2     163    9536 48
    2     165    7659 72
    2     170     342 65
    2     174    9709 56
    2     183    7979 85
    2     185    4220 100
    2     186    1067 3
    2     188    2931 45
    2     191    1962 43
    2     197    1220 12
    2     199    5839 31
    2     202    9160 58
    2     203    7804 60
    2     205    8357 83
    2     206    9848 17
    2     208    8493 94
    2     214    3348 65
    2     216    1660 96
    2     221    2536 94
    2     230    3584 38
    2     235    7940 91
    2     239    6813 4
    2     246     987 70
    2     248    8552 40
    2     251    9697 87
    2     254     234 61
    2     258    5154 41
    2     259    1222 65
    2     266     712 50
    2     272    1938 48
    2     275    5757 28
    2     276    7699 61
    2     281    2869 27
    2     282    4444 91
    2     283    6056 54
    2     284    1567 67
    2     288    5704 13
    2     292    9070 49
    2     296    5383 77
    2     300    5694 40
    2     301    1063 71
    2     302    3767 96
    2     304    8827 53
    2     308    2514 73
    2     310    4313 69
    2     312     643 95
    2     315    4612 46
    2     316    3225 62
    2     317    4015 55
    2     320    8414 25
    2     322    4283 87
    2     324     761 81
    2     325     886 97
    2     326    2065 79
    2     330    2816 24
    2     332    8861 80
    2     338    2021 51
    2     339    2555 37
    2     341    2762 33
    2     344    5694 96
    2     346    2545 70
    2     350    1015 44
    2     351    4148 25
    2     352    6922 53
    2     353    7876 48
    2     354    6290 1
    2     359    5091 52
    2     364    8818 37
    2     378    6561 31
    2     386    9025 21
    2     391    7300 29
    2     394    3958 81
    2     403    3258 43
    2     404    4574 88
    2     407    1594 41
    2     408    1497 66
    2     409    5368 37
    2     410    7969 79
    2     411    1344 90
    2     415    5852 84
    2     419    2091 47
    2     423    2634 51
    2     424    1166 59
    2     425    6016 35
    2     426    1030 64
    2     427    7032 69
    2     428    3207 90
    2     433    3087 67
    2     434    6907 82
    2     445    2947 23
    3       4    8499 90
    3       7    2397 68
    3       9      86 70
    3      13    5222 17
    3      15     651 41
    3      18    3229 67
    3      22    3947 61
    3      24    2356 61
    3      25    3071 7
    3      29      60 20
    3      30    7291 54
    3      31    6435 39
    3      32    6284 15
    3      35    3174 59
    3      36    4899 5
    3      40    5747 2
    3      41    8720 7
    3      47    7519 51
    3      48    2008 33
    3      54    6673 42
    3      55    1109 59
    3      56    1606 28
    3      59    6637 84
    3      70    2475 65
    3      71    4916 79
    3      75    9255 66
    3      76    8466 78
    3      78    4358 53
    3      81    7664 14
    3      83    4707 41
    3      84    7869 90
    3      85    2573 25
    3      90    4053 55
    3      91    8559 69
    3      92    3643 76
    3      95    8792 3
    3     100    3641 21
    3     102    1774 99
    3     106    4691 35
    3     111    9615 16
    3     112    5080 57
    3     114    4929 58
    3     118    8942 64
    3     121    2392 97
    3     122    2394 49
    3     124    7747 61
    3     126     254 28
    3     128    4818 83
    3     129    1104 54
    3     141    6453 73
    3     144    8283 27
    3     147     823 62
    3     151    6062 17
    3     155    6695 85
    3     162    8700 17
    3     163    5271 33
    3     164    2547 97
    3     165    5989 61
    3     169    2071 18
    3     172    4584 95
    3     173    5873 56
    3     175    4445 58
    3     176    7960 98
    3     181    6804 87
    3     183    1674 83
    3     190    3137 65
    3     192    9492 68
    3     194    7243 63
    3     198     863 38
    3     202    8455 78
    3     204    1836 33
    3     206    2551 40
    3     211    8155 76
    3     215     819 32
    3     219    8426 98
    3     223    6970 32
    3     227    3283 68
    3     228    3659 95
    3     229    1896 20
    3     233    5109 47
    3     234    3246 15
    3     237    9649 56
    3     247    2914 28
    3     251     162 66
    3     261    8841 43
    3     266    2727 17
    3     270    6220 3
    3     271    1274 46
    3     272    8221 30
