  500   37424
    1       4    6322 70
    1       5    7586 90
    1       6    5352 88
    1       9     196 84
    1      10    7632 33
    1      18    1176 42
    1      19    7158 35
    1      23     315 6
    1      26    3878 29
    1      28    3819 66
    1      34    6452 93
    1      38    6475 40
    1      40     735 8
    1      41      98 100
    1      42    8358 97
    1      43    5273 14
    1      44    9878 82
    1      46    5009 61
    1      50    9972 75
    1      57    4400 75
    1      59    3411 29
    1      62    6450 84
    1      64    1420 10
    1      65    1087 100
    1      67     714 41
    1      71    1137 55
    1      73    7322 1
    1      77    1253 75
    1      80    8171 30
    1      81     423 49
    1      91    6028 15
    1      93    3775 15
    1      94    7176 76
    1      95    3804 34
    1     100    2375 77
    1     101    8592 20
    1     102    8688 70
    1     105    8634 7
    1     108    9983 40
    1     110    4649 31
    1     114    9250 99
    1     117    5744 6
    1     122    4826 16
    1     139    7503 17
    1     140     294 88
    1     141    3041 11
    1     142    9780 14
    1     143    5686 29
    1     145    4288 19
    1     147    7525 99
    1     148    4465 8
    1     152    6059 90
    1     155    3027 93
    1     156      39 41
    1     163    5831 40
    1     166    3251 47
    1     167    3404 20
    1     169    8555 2
    1     173    8262 52
    1     178    1980 13
    1     179    6237 63
    1     183    5736 11
    1     190    1361 84
    1     197    8863 8
    1     199    8652 69
    1     207    1885 15
    1     209    5873 18
    1     211    2501 37
    1     226    5925 57
    1     228     356 99
    1     231    5064 90
    1     234    1472 85
    1     238     153 59
    1     239    1511 2
    1     245    2415 4
    1     252    8895 94
    1     255    3334 17
    1     259     681 47
    1     261    8121 40
    1     262    3832 71
    1     268    2390 10
    1     272    5175 5
    1     275    6903 42
    1     276    2409 55
    1     278    7826 35
    1     280    2667 95
    1     285     554 40
    1     297    9825 26
    1     301     607 55
    1     306    8091 7
    1     309    4849 45
    1     316    5828 9
    1     318     576 65
    1     320    5478 28
    1     322    2577 34
    1     324    5011 15
    1     326    7023 34
    1     328    4017 48
    1     330    7441 97
    1     336    9782 71
    1     344    5806 8
    1     345    6460 86
    1     349    5094 25
    1     357    6583 2
    1     359     515 5
    1     361    7551 85
    1     363      46 91
    1     367    7340 90
    1     368    6244 31
    1     371    6295 71
    1     372    5741 73
    1     375    4831 29
    1     379    1320 47
    1     381    6559 68
    1     385    1789 23
    1     387    3144 10
    1     390    1240 36
