  100    1484
    1       2    7797 52
    1       3    4439 52
    1       9    8941 43
    1      10    7071 52
    1      11     149 44
    1      13    6591 67
    1      17    3471 8
    1      18     189 51
    1      32    4543 100
    1      34    9862 84
    1      36    6777 25
    1      37    2517 43
    1      42    8358 52
    1      46     588 68
    1      49    6100 7
    1      51    1673 35
    1      53    8919 81
    1      62    2270 15
    1      65    8641 4
    1      74    6643 21
    1      77    1110 40
    1      79    3550 64
    1      80    7728 66
    1      83    8644 25
    1      87    4889 68
    1      89    3095 91
    1      96    5133 22
    1      97    9990 50
    1      99    3675 99
    1     100    3399 53
    2       3    2700 22
    2       8    9339 2
    2      10    4139 47
    2      11    2165 56
    2      14     633 20
    2      16     430 26
    2      17    2720 82
    2      18    9552 38
    2      21    5127 90
    2      22    2939 41
    2      24    1461 49
    2      30    1093 24
    2      34    1896 32
    2      35    1453 37
    2      37    2580 24
    2      40    3798 42
    2      43    5104 66
    2      44    5579 50
    2      48    2003 56
    2      50    1088 13
    2      51    5866 5
    2      53    4807 20
    2      55    9683 73
    2      58    1335 3
    2      60    2265 27
    2      61     967 61
    2      65    9256 47
    2      66    6080 84
    2      70     908 48
    2      75    3544 68
    2      79    6978 17
    2      82    8913 61
    2      86    5916 92
    2      90    6719 100
    2      91    1521 48
    2      92    4522 7
    2      93    4806 94
    2      96    4332 71
    2      97    9321 40
    2      99    9452 89
    3      12     150 57
    3      16    7013 79
    3      21      91 10
    3      24     356 59
    3      28    6951 25
    3      35      40 86
    3      36    6271 92
    3      41     578 85
    3      42    6915 29
    3      45    1594 21
    3      47    9997 23
    3      50    2974 99
    3      58    1175 77
    3      62     295 30
    3      63    4052 100
    3      64    4933 45
    3      65    5918 60
    3      69    8950 78
    3      71    8371 54
    3      73    8221 92
    3      75     280 67
    3      76    7080 64
    3      78    9746 56
    3      82    3182 4
    3      83    4590 51
    3      87    8180 75
    3      92    2466 75
    3      98    5142 87
    3     100    8822 51
    4       5    6579 27
    4       6    9465 41
    4      10    3701 14
    4      13    6957 93
    4      18     489 1
    4      19    7385 88
    4      21    7287 20
    4      26    3087 99
    4      32    2992 82
    4      40    7754 43
    4      41    4497 9
    4      43    2320 92
    4      47    9232 16
    4      53    8651 23
    4      61    9783 22
    4      64    9613 62
    4      66    4114 5
    4      68    1831 18
    4      70    8884 26
    4      71     379 20
    4      76    4011 29
    4      83    9436 49
    4      87     712 3
    4      94      48 18
    4      97    5989 61
    4      98    6427 72
    4     100    4943 72
    5       6    8621 23
    5       9     746 42
    5      16    2051 19
    5      20     193 76
    5      26    5300 2
    5      30    1626 64
    5      40    9285 64
    5      41    7582 42
    5      48    5216 79
    5      55    4177 57
    5      56    3260 61
    5      57    5603 90
    5      60     976 41
    5      65    9223 72
    5      67    1723 60
    5      69     752 98
    5      72     192 44
    5      73    8979 2
    5      74    4475 51
    5      77    1839 33
    5      84    2889 65
    5      87     595 24
    5      89    1723 49
    5      95    2735 76
    5     100    7768 79
    6       8    6894 30
    6       9    5459 37
    6      19     756 86
    6      24    3436 22
    6      27    3943 42
    6      39     444 56
    6      42    8781 59
    6      43    6873 5
    6      47    5466 15
    6      50    2140 70
    6      55    8626 46
    6      57    2934 41
    6      59    9062 76
    6      65    2983 58
    6      67    4638 88
    6      69    1622 15
    6      71    8277 28
    6      75    1864 63
    6      81    7564 60
    6      84    6541 33
    6      87    8365 12
    6      90     815 67
    6      96    1962 5
    6      99    3347 44
    6     100    5314 14
    7       8    1084 22
    7       9     782 35
    7      11    9741 8
    7      12    5164 76
    7      15     781 21
    7      19    5933 73
    7      21    6149 77
    7      24    1275 6
    7      25    8152 42
    7      29    8702 97
    7      31    9477 2
    7      38      14 93
    7      41    9256 55
    7      45     227 48
    7      46    5853 38
    7      47    6459 15
    7      51    6654 4
    7      54    6149 35
    7      56    1357 100
    7      68    6706 48
    7      69    2263 51
    7      70    2971 15
    7      78     799 97
    7      88    8419 10
    7      89    7611 84
    7      91    4859 97
    7      93    9061 83
    7      95    2431 92
    7      98    8503 94
    7     100    9264 87
    8      11    8064 42
    8      23     363 17
    8      25    4923 48
    8      31    8921 67
    8      32    2365 28
    8      41    9021 43
    8      44     581 42
    8      45     806 6
    8      48    4706 15
    8      53    5350 84
    8      55    1527 74
    8      59    2042 83
    8      60    3174 32
    8      63    6992 41
    8      65    8688 82
    8      67    6076 77
    8      76    7221 56
    8      83    1784 54
    8      88    5747 67
    8      94    6522 36
    8      95    3176 82
    9      13    6011 59
    9      21    2405 74
    9      32    7296 78
    9      34    8342 57
    9      36    4251 30
    9      38    8314 16
    9      41    8579 54
    9      46     176 13
    9      56    9659 5
    9      62    6731 66
    9      63    2948 93
    9      64    3724 5
    9      68    8780 86
    9      76     992 51
    9      79    4763 55
    9      88    6224 2
    9      89    2362 45
    9      90    9257 29
    9      94    5853 1
    9      95    2256 44
    9      96    9456 85
    9      98    5237 4
    9     100    2367 55
   10      11    6032 23
   10      16    2577 31
   10      19     701 48
   10      29    1748 85
   10      40    2522 1
   10      44     275 13
   10      47      14 29
   10      48    9869 73
   10      53     578 57
   10      60    3894 35
   10      62    4743 63
   10      63     524 28
   10      66    6508 3
   10      68    6271 38
   10      70    1736 82
   10      78    5472 97
   10      88    5193 56
   10      96     510 60
   11      12    7346 58
   11      17    9286 60
   11      26    4184 12
   11      27    4372 27
   11      30    1162 40
   11      33    2487 84
   11      36    7703 51
   11      37    9654 17
   11      41    8222 40
   11      43    1588 81
   11      45    7278 41
   11      47    5976 55
   11      49    4481 80
   11      51    7166 42
   11      52    2926 76
   11      59    1955 72
   11      61    8780 77
   11      62    3730 19
   11      64    4711 46
   11      65    5386 55
   11      67    6493 52
   11      68    8148 97
   11      71    1174 44
   11      72    9147 46
   11      75    3266 9
   11      77    2817 24
   11      81    5908 76
   11      85    3220 22
   11      94    2145 27
   11      98    5790 63
   12      22    8838 19
   12      23    3596 34
   12      35    8553 70
   12      36    1030 65
   12      38    9131 85
   12      41    7727 56
   12      42    8882 90
   12      43    7999 32
